"AppID","Name","Achievements"
"2133250","Poly Memory: Predators","100"
"2134600","PIP 3","100"
"1945010","Achievement Cage","100"
"2127750","Slide Girls","100"
"2129390","CATAIRE - Gambling with cats","100"
"2093270","Death in the Night","100"
"2155220","Petty's Adventure: Desert","100"
"2151630","PIP 4","100"
"2172780","Poly Puzzle: Dinosaurs","100"
"1582180","Hello Puppets: Midnight Show","100"
"2172870","PIP 5","100"
"2125050","Out of the Cube","100"
"1506250","My Mistress","100"
"2165610","Mosaique Neko Waifus 5","100"
"1904540","Football Manager 2023","100"
"2190280","Poly Memory: Dinosaurs","100"
"2157110","FUCK HITLER","100"
"2007530","Spellbook Demonslayers","100"
"2190270","PIP 6","100"
"2103710","Gabenwood: 99 Hidden Bucks","100"
"1965610","Froggie","100"
"2066020","Soulstone Survivors","100"
"1669330","残世界的鸢尾花","100"
"2209810","PIP L","100"
"2209800","POG X","100"
"2128220","The Most Awesome Game Ever Made","100"
"2151710","Singularity Runner","100"
"1140440","OMON Simulator","100"
"2185470","Chinese Characters","100"
"736820","Knights of Honor II: Sovereign","100"
"2132710","SokoMelody","100"
"1399720","Antimatter Dimensions","100"
"2165740","SokoFrog","100"
"1861970","Mister Furry","100"
"2239050","Poly Puzzle: Animals","100"
"1585400","Gjallarhorn","100"
"2022180","Miss Neko 3","100"
"2241350","Poly Memory: Animals","100"
"2050310","OutWave: Retro chase","100"
"2259080","POG XL","100"
"2256190","PIP D","100"
"2270910","Poly Puzzle: Butterflies","100"
"2273630","PIP X","100"
"2182500","Elemental Raiders","100"
"2171840","Project: Mirror","100"
"1687210","Tell Some Story: Foz","100"
"2292550","Poly Memory: Butterflies","100"
"2294320","PIP XL","100"
"2284290","Aircraft Infinity","100"
"2286450","Striving for Light: Survival","100"
"2313530","Poly Jigsaw: Cats","100"
"2319370","Ultimate Anime Jigsaw Puzzle","100"
"2334620","Poly Jigsaw: Birds","100"
"2307250","Neko Hentai Girl: Beach Match-3","100"
"1721550","Core-Blast","100"
"2303180","Resoraki: The racing","100"
"937930","Elle","100"
"2355410","Little Monki","100"
"2353820","Poly Jigsaw: Animals","100"
"2340150","Wojak wants Hentai","100"
"2350660","H Girl 2","100"
"2330970","Zippy Detective: Cats","100"
"2375560","Poly Jigsaw: Butterflies","100"
"2254910","100 hidden frogs 2","100"
"2334210","No.BreakBrick","100"
"2392690","Medieval simulators: Baker","100"
"2396000","Poly Jigsaw: Dinosaurs","100"
"2094580","We. The Refugees: Ticket to Europe","100"
"2251380","Escape From Russia: Mobilization","100"
"2382650","I Swear This Hentai Game Was A Gift","100"
"2407920","Neon Fantasy: Animals","100"
"2233980","Agent Team Simulator","100"
"2413750","Poly Jigsaw: Dogs","100"
"2409850","Cubic Figures","100"
"2430290","Neon Fantasy: Furries","100"
"2399910","Byakuya Museum","100"
"2441300","Poly Jigsaw: Predators","100"
"2382260","Puzzle GO!","100"
"2433380","YGGDRASILL","100"
"2017540","Energy Collector","100"
"2452480","Neon Fantasy: Girls","100"
"2444370","49 Squares","100"
"2252970","Synth Pong","100"
"2463210","Poly Jigsaw: Primates","100"
"2474960","Neon Fantasy: Birds","100"
"2432630","Mythical Agent","100"
"2468990","Idle Ultimate","100"
